14-09-2025, 10:14:24+01:00,MX Keys Mac,FE:12:51:4D:4C:32,50%
14-09-2025, 10:14:40+01:00,MX Keys Mac,FE:12:51:4D:4C:32,50%
14-09-2025, 10:28:27+01:00,MX Keys Mac,FE:12:51:4D:4C:32,50%
16-09-2025, 07:14:25+01:00,MX Keys Mac,FE:12:51:4D:4C:32,50%
16-09-2025, 07:14:37+01:00,MX Keys Mac,FE:12:51:4D:4C:32,50%
16-09-2025, 10:12:31+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
17-09-2025, 08:32:32+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
19-09-2025, 07:53:19+01:00,MX Keys Mac,FE:12:51:4D:4C:32,50%
20-09-2025, 10:54:03+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:08+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:13+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:18+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:23+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:28+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:33+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:39+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:44+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:49+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:54:51+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:55:03+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 10:57:09+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 13:24:41+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
20-09-2025, 19:26:24+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
22-09-2025, 10:58:06+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
22-09-2025, 19:12:09+01:00,MX Keys Mac,FE:12:51:4D:4C:32,100%
